     Freq.           Exact            RS              BF              PF              QWC             FC              CGF      
        0.00000         0.00183         0.00170         0.00185         0.00147         0.00166         0.00132         0.00139
        0.54614         0.00182         0.00168         0.00166         0.00143         0.00160         0.00126         0.00137
        1.09228         0.00181         0.00167         0.00148         0.00140         0.00155         0.00123         0.00137
        1.63842         0.00179         0.00167         0.00130         0.00140         0.00151         0.00121         0.00139
        2.18456         0.00176         0.00167         0.00115         0.00142         0.00148         0.00122         0.00143
        2.73070         0.00173         0.00169         0.00100         0.00146         0.00146         0.00125         0.00148
        3.27684         0.00170         0.00172         0.00088         0.00152         0.00146         0.00129         0.00154
        3.82298         0.00167         0.00175         0.00078         0.00159         0.00147         0.00135         0.00161
        4.36912         0.00163         0.00179         0.00071         0.00167         0.00149         0.00143         0.00169
        4.91525         0.00160         0.00182         0.00066         0.00176         0.00151         0.00151         0.00177
        5.46139         0.00156         0.00186         0.00063         0.00185         0.00155         0.00160         0.00185
        6.00753         0.00152         0.00190         0.00063         0.00194         0.00159         0.00170         0.00192
        6.55367         0.00149         0.00194         0.00066         0.00203         0.00163         0.00179         0.00199
        7.09981         0.00146         0.00196         0.00071         0.00211         0.00168         0.00188         0.00205
        7.64595         0.00143         0.00199         0.00078         0.00218         0.00173         0.00197         0.00209
        8.19209         0.00140         0.00200         0.00088         0.00224         0.00177         0.00204         0.00212
        8.73823         0.00137         0.00200         0.00099         0.00228         0.00181         0.00209         0.00214
        9.28437         0.00135         0.00200         0.00111         0.00230         0.00185         0.00213         0.00213
        9.83051         0.00134         0.00198         0.00124         0.00230         0.00187         0.00215         0.00211
       10.37665         0.00132         0.00195         0.00138         0.00228         0.00189         0.00215         0.00208
       10.92279         0.00132         0.00192         0.00152         0.00224         0.00190         0.00214         0.00202
       11.46893         0.00131         0.00187         0.00166         0.00218         0.00189         0.00210         0.00195
       12.01507         0.00131         0.00181         0.00180         0.00210         0.00188         0.00204         0.00187
       12.56121         0.00131         0.00175         0.00192         0.00201         0.00185         0.00196         0.00178
       13.10735         0.00131         0.00168         0.00204         0.00190         0.00181         0.00186         0.00168
       13.65349         0.00131         0.00161         0.00213         0.00179         0.00176         0.00176         0.00157
       14.19963         0.00132         0.00154         0.00221         0.00167         0.00170         0.00164         0.00146
       14.74576         0.00132         0.00146         0.00227         0.00155         0.00164         0.00151         0.00135
       15.29190         0.00132         0.00139         0.00231         0.00142         0.00156         0.00139         0.00125
       15.83804         0.00133         0.00132         0.00232         0.00131         0.00149         0.00126         0.00115
       16.38418         0.00133         0.00126         0.00230         0.00120         0.00141         0.00114         0.00106
       16.93032         0.00133         0.00120         0.00227         0.00110         0.00133         0.00102         0.00098
       17.47646         0.00132         0.00115         0.00221         0.00102         0.00125         0.00092         0.00092
       18.02260         0.00132         0.00111         0.00213         0.00095         0.00117         0.00083         0.00088
       18.56874         0.00131         0.00108         0.00203         0.00091         0.00111         0.00076         0.00085
       19.11488         0.00130         0.00106         0.00191         0.00088         0.00105         0.00071         0.00084
       19.66102         0.00129         0.00105         0.00178         0.00087         0.00100         0.00068         0.00085
       20.20716         0.00127         0.00106         0.00163         0.00088         0.00096         0.00068         0.00087
       20.75330         0.00125         0.00107         0.00148         0.00091         0.00094         0.00069         0.00091
       21.29944         0.00124         0.00109         0.00133         0.00096         0.00092         0.00072         0.00096
       21.84558         0.00122         0.00112         0.00117         0.00102         0.00092         0.00078         0.00103
       22.39172         0.00120         0.00116         0.00101         0.00109         0.00093         0.00085         0.00110
       22.93786         0.00118         0.00120         0.00087         0.00117         0.00096         0.00093         0.00118
       23.48400         0.00116         0.00124         0.00073         0.00126         0.00099         0.00103         0.00127
       24.03014         0.00114         0.00129         0.00060         0.00135         0.00104         0.00113         0.00135
       24.57627         0.00112         0.00133         0.00049         0.00144         0.00109         0.00124         0.00143
       25.12241         0.00110         0.00137         0.00040         0.00153         0.00114         0.00134         0.00150
       25.66855         0.00109         0.00141         0.00033         0.00161         0.00120         0.00144         0.00157
       26.21469         0.00108         0.00144         0.00028         0.00167         0.00126         0.00154         0.00162
       26.76083         0.00107         0.00147         0.00026         0.00173         0.00132         0.00162         0.00166
       27.30697         0.00106         0.00148         0.00025         0.00176         0.00138         0.00169         0.00168
       27.85311         0.00105         0.00149         0.00027         0.00179         0.00142         0.00174         0.00169
       28.39925         0.00105         0.00148         0.00032         0.00179         0.00147         0.00177         0.00168
       28.94539         0.00105         0.00147         0.00038         0.00177         0.00150         0.00178         0.00166
       29.49153         0.00104         0.00144         0.00046         0.00174         0.00152         0.00177         0.00161
       30.03767         0.00104         0.00141         0.00056         0.00169         0.00152         0.00173         0.00156
       30.58381         0.00105         0.00137         0.00067         0.00162         0.00152         0.00168         0.00148
       31.12995         0.00105         0.00132         0.00079         0.00154         0.00150         0.00160         0.00140
       31.67609         0.00105         0.00126         0.00092         0.00145         0.00147         0.00151         0.00131
       32.22223         0.00105         0.00120         0.00105         0.00135         0.00143         0.00141         0.00121
       32.76837         0.00105         0.00114         0.00118         0.00125         0.00138         0.00129         0.00111
       33.31451         0.00105         0.00107         0.00131         0.00114         0.00131         0.00117         0.00101
       33.86065         0.00105         0.00101         0.00144         0.00103         0.00125         0.00105         0.00092
       34.40678         0.00105         0.00095         0.00155         0.00093         0.00117         0.00092         0.00083
       34.95292         0.00104         0.00090         0.00165         0.00084         0.00109         0.00080         0.00074
       35.49906         0.00104         0.00085         0.00173         0.00076         0.00101         0.00069         0.00068
       36.04520         0.00103         0.00080         0.00180         0.00069         0.00093         0.00059         0.00062
       36.59134         0.00102         0.00077         0.00185         0.00064         0.00086         0.00051         0.00058
       37.13748         0.00101         0.00075         0.00187         0.00060         0.00079         0.00044         0.00056
       37.68362         0.00100         0.00073         0.00188         0.00059         0.00073         0.00039         0.00055
       38.22976         0.00099         0.00073         0.00186         0.00059         0.00068         0.00037         0.00056
       38.77590         0.00098         0.00074         0.00182         0.00060         0.00065         0.00037         0.00059
       39.32204         0.00097         0.00076         0.00176         0.00064         0.00062         0.00039         0.00063
       39.86818         0.00096         0.00078         0.00169         0.00069         0.00061         0.00043         0.00068
       40.41432         0.00095         0.00081         0.00159         0.00075         0.00061         0.00049         0.00075
